Timestamp,Sensor Timestamp,Plant ID,Disease Status,Temperature (°C),Humidity (%),Pressure (kPa),Gas Resistance (KOhm),MQ2 Rs (Ohm),MQ2 Ratio,MQ2 R0 (Ohm),MQ2 Delta,MQ2 Variance,MQ2 Baseline
2025-12-23 11:37:18,55359,plant_002,healthy,20.52,37.06,100.598,290.56,20470.0,9.83,2082.4,0.0,0.0,9.83
2025-12-23 11:37:33,70472,plant_002,healthy,20.75,35.96,100.598,311.85,20470.0,9.83,2082.4,0.0,0.0,9.83
2025-12-23 11:37:48,85610,plant_002,healthy,20.92,35.45,100.601,318.85,20470.0,9.83,2082.4,0.0,0.0,9.83
2025-12-23 11:38:05,100710,plant_002,healthy,21.05,34.85,100.602,324.01,20470.0,9.83,2082.4,0.0,0.0,9.83
2025-12-23 11:38:19,116467,plant_002,healthy,21.13,34.42,100.605,323.57,20470.0,9.83,2082.4,0.0,0.0,9.83
2025-12-23 11:38:34,131592,plant_002,healthy,21.26,34.12,100.609,327.29,20470.0,9.83,2082.4,0.0,0.0,9.83
2025-12-23 11:38:50,146702,plant_002,healthy,21.32,34.45,100.613,325.84,20470.0,9.83,2082.4,0.0,0.0,9.83
2025-12-23 11:39:06,161824,plant_002,healthy,21.19,33.94,100.616,330.47,20470.0,9.83,2082.4,0.0,0.0,9.83
2025-12-23 11:39:21,177877,plant_002,healthy,20.95,35.24,100.619,315.65,10884.8,5.227,2082.4,-0.6426,3.397695,2.7952
2025-12-23 11:39:36,192982,plant_002,healthy,20.75,37.29,100.622,317.37,308.01,0.1479,2082.4,0.0005,17.990099,0.1319
2025-12-23 11:39:51,208086,plant_002,healthy,20.57,36.22,100.623,326.7,419.04,0.2012,2082.4,0.0065,20.597088,0.1253
2025-12-23 11:40:07,223234,plant_002,healthy,20.4,35.51,100.622,332.16,458.18,0.22,2082.4,-0.0086,7.736893,0.1253
2025-12-23 11:40:22,238964,plant_002,healthy,20.21,35.39,100.62,331.49,473.56,0.2274,2082.4,0.0021,0.002325,0.1276
2025-12-23 11:40:37,254067,plant_002,healthy,20.09,35.45,100.617,335.9,380.29,0.1826,2082.4,0.0003,0.001785,0.1511
2025-12-23 11:40:52,269194,plant_002,healthy,19.97,35.55,100.616,338.07,417.14,0.2003,2082.4,-0.0005,0.001568,0.1512
2025-12-23 11:41:13,284306,plant_002,healthy,19.87,35.6,100.613,339.84,507.99,0.2439,2082.4,0.008,0.001442,0.1512
2025-12-23 11:41:28,304944,plant_002,healthy,19.67,36.06,100.606,316.03,465.09,0.2233,2082.4,-0.0043,0.00171,0.1516
2025-12-23 11:41:43,320069,plant_002,healthy,19.65,35.98,100.601,334.12,450.71,0.2164,2082.4,-0.0019,0.001621,0.1529
2025-12-23 11:41:58,335211,plant_002,healthy,19.6,36.6,100.597,334.03,441.29,0.2119,2082.4,-0.0006,0.001835,0.1512
2025-12-23 11:42:14,350340,plant_002,healthy,19.53,37.78,100.593,330.2,489.87,0.2352,2082.4,0.0056,0.001412,0.1512
2025-12-23 11:42:29,366054,plant_002,healthy,19.45,38.13,100.59,328.66,457.79,0.2198,2082.4,-0.0021,0.001457,0.1607
2025-12-23 11:42:44,381189,plant_002,healthy,19.42,37.89,100.588,331.55,450.88,0.2165,2082.4,-0.0021,0.001058,0.1797
2025-12-23 11:42:59,396290,plant_002,healthy,19.38,38.64,100.588,329.2,422.48,0.2029,2082.4,-0.0035,0.00103,0.1653
2025-12-23 11:43:15,411436,plant_002,healthy,19.33,38.96,100.587,328.21,450.92,0.2165,2082.4,0.0005,0.000804,0.1642
2025-12-23 11:43:30,427201,plant_002,healthy,19.28,39.47,100.587,323.16,441.08,0.2118,2082.4,0.0011,0.000806,0.1642
2025-12-23 11:43:45,442346,plant_002,healthy,19.26,39.78,100.588,324.15,485.68,0.2332,2082.4,0.0,0.00087,0.1642
2025-12-23 11:44:00,457480,plant_002,healthy,19.24,39.68,100.59,325.48,449.88,0.216,2082.4,0.0032,0.000974,0.1642
2025-12-23 11:44:16,472586,plant_002,healthy,19.21,39.92,100.592,323.91,438.49,0.2106,2082.4,0.0,0.000842,0.1662
2025-12-23 11:44:30,487699,plant_002,healthy,19.19,40.11,100.594,323.29,416.16,0.1998,2082.4,-0.0032,0.000801,0.165
