Timestamp,Temperature (°C),Humidity (%),Pressure (kPa),Gas Resistance (KOhm)
2025-11-14 18:21:41,19.64,51.99,100.33,23.2
2025-11-14 18:21:56,19.45,51.97,100.33,23.33
2025-11-14 18:22:11,19.31,51.97,100.33,23.85
2025-11-14 18:22:26,19.2,51.94,100.33,24.52
2025-11-14 18:22:41,19.11,51.94,100.33,25.16
2025-11-14 18:22:56,19.05,51.97,100.33,25.75
2025-11-14 18:23:11,19.04,52.32,100.33,26.45
2025-11-14 18:23:26,19.04,51.69,100.33,27.06
2025-11-14 18:23:42,19.06,51.4,100.33,27.82
2025-11-14 18:23:57,19.09,51.22,100.33,28.72
2025-11-14 18:24:12,19.12,51.05,100.33,29.43
2025-11-14 18:24:27,19.15,50.92,100.33,30.15
2025-11-14 18:24:42,19.18,50.76,100.33,30.82
2025-11-14 18:24:57,19.21,50.71,100.33,31.49
2025-11-14 18:25:12,19.24,50.63,100.32,32.1
2025-11-14 18:25:27,19.27,50.6,100.32,32.65
2025-11-14 18:25:42,19.29,50.54,100.32,33.14
2025-11-14 18:25:57,19.32,50.49,100.32,33.87
2025-11-14 18:26:12,19.34,50.43,100.33,34.43
2025-11-14 18:26:27,19.36,50.41,100.33,35.0
2025-11-14 18:26:42,19.38,50.36,100.33,35.51
2025-11-14 18:26:57,19.39,50.29,100.33,36.09
2025-11-14 18:27:12,19.41,50.33,100.33,36.41
2025-11-14 18:27:27,19.42,50.28,100.32,36.92
2025-11-14 18:27:42,19.43,50.24,100.32,37.35
2025-11-14 18:27:58,19.44,50.19,100.32,37.79
2025-11-14 18:28:13,19.45,50.16,100.32,38.21
2025-11-14 18:28:28,19.46,50.14,100.32,38.74
2025-11-14 18:28:43,19.47,50.14,100.32,39.1
2025-11-14 18:28:58,19.47,50.07,100.32,39.51
2025-11-14 18:29:13,19.48,50.05,100.32,39.88
2025-11-14 18:29:28,19.49,50.06,100.32,40.35
2025-11-14 18:29:43,19.49,50.08,100.32,40.82
2025-11-14 18:29:58,19.5,50.09,100.32,41.14
2025-11-14 18:30:13,19.5,50.1,100.32,41.35
2025-11-14 18:30:28,19.51,50.06,100.32,41.8
2025-11-14 18:30:43,19.52,49.99,100.32,42.14
2025-11-14 18:30:58,19.52,49.96,100.32,42.44
2025-11-14 18:31:13,19.53,49.93,100.32,42.74
2025-11-14 18:31:28,19.54,49.97,100.32,42.96
2025-11-14 18:31:43,19.54,49.98,100.32,43.41
2025-11-14 18:31:58,19.55,49.97,100.32,43.54
2025-11-14 18:32:13,19.55,49.93,100.32,44.0
2025-11-14 18:32:29,19.55,49.96,100.32,44.14
2025-11-14 18:32:44,19.56,49.96,100.32,44.38
2025-11-14 18:32:59,19.56,49.92,100.32,44.66
2025-11-14 18:33:14,19.56,49.91,100.32,44.9
2025-11-14 18:33:29,19.56,49.9,100.32,45.39
2025-11-14 18:33:44,19.56,49.93,100.32,45.59
2025-11-14 18:33:59,19.56,49.92,100.32,46.04
2025-11-14 18:34:14,19.56,49.95,100.32,45.99
2025-11-14 18:34:29,19.56,49.95,100.32,46.3
2025-11-14 18:34:44,19.56,49.9,100.32,46.4
2025-11-14 18:34:59,19.56,49.92,100.32,47.03
2025-11-14 18:35:14,19.56,49.88,100.32,46.97
2025-11-14 18:35:29,19.56,49.91,100.32,47.24
2025-11-14 18:35:44,19.56,49.93,100.32,47.13
2025-11-14 18:35:59,19.56,49.91,100.32,47.51
2025-11-14 18:36:14,19.56,49.88,100.32,47.59
2025-11-14 18:36:29,19.56,49.85,100.32,47.89
2025-11-14 18:36:44,19.56,49.87,100.32,48.19
2025-11-14 18:36:59,19.56,49.9,100.32,48.22
2025-11-14 18:37:15,19.56,49.93,100.32,48.33
2025-11-14 18:37:30,19.56,49.91,100.32,48.56
2025-11-14 18:37:45,19.56,49.91,100.32,48.81
2025-11-14 18:38:00,19.56,49.85,100.32,48.84
2025-11-14 18:38:15,19.56,49.87,100.32,49.1
2025-11-14 18:38:30,19.57,49.88,100.32,49.3
2025-11-14 18:38:45,19.57,49.87,100.32,49.45
2025-11-14 18:39:00,19.57,49.87,100.32,49.74
2025-11-14 18:39:15,19.57,49.87,100.32,49.63
2025-11-14 18:39:30,19.57,49.86,100.32,49.89
2025-11-14 18:39:45,19.57,49.85,100.32,50.13
2025-11-14 18:40:00,19.57,49.84,100.32,50.19
2025-11-14 18:40:15,19.57,49.82,100.32,50.8
2025-11-14 18:40:30,19.57,49.81,100.32,50.44
2025-11-14 18:40:45,19.57,49.82,100.32,50.74
2025-11-14 18:41:00,19.56,49.83,100.32,51.05
2025-11-14 18:41:15,19.56,49.82,100.32,51.21
2025-11-14 18:41:30,19.55,49.83,100.32,51.12
2025-11-14 18:41:46,19.55,49.83,100.32,51.4
2025-11-14 18:42:00,19.54,49.86,100.32,51.56
2025-11-14 18:42:16,19.54,49.84,100.32,51.65
2025-11-14 18:42:31,19.54,49.81,100.32,51.62
2025-11-14 18:42:46,19.53,49.81,100.32,51.88
2025-11-14 18:43:01,19.53,49.82,100.32,52.01
2025-11-14 18:43:16,19.53,49.82,100.32,52.01
2025-11-14 18:43:31,19.52,49.82,100.32,52.53
2025-11-14 18:43:46,19.52,49.82,100.32,52.4
2025-11-14 18:44:01,19.51,49.87,100.32,52.47
2025-11-14 18:44:16,19.51,49.9,100.32,52.6
2025-11-14 18:44:31,19.51,49.87,100.32,52.76
2025-11-14 18:44:46,19.51,49.88,100.32,52.76
2025-11-14 18:45:01,19.51,49.88,100.32,52.8
2025-11-14 18:45:16,19.51,49.85,100.31,53.03
2025-11-14 18:45:31,19.5,49.83,100.31,53.13
2025-11-14 18:45:46,19.5,49.86,100.31,53.41
2025-11-14 18:46:01,19.5,49.84,100.31,53.3
2025-11-14 18:46:16,19.5,49.86,100.31,53.44
2025-11-14 18:46:31,19.5,49.83,100.31,53.61
2025-11-14 18:46:46,19.5,49.86,100.31,53.68
2025-11-14 18:47:01,19.5,49.88,100.31,53.68
2025-11-14 18:47:17,19.49,49.91,100.31,53.96
2025-11-14 18:47:32,19.49,49.91,100.31,53.89
2025-11-14 18:47:47,19.49,49.88,100.31,54.27
2025-11-14 18:48:02,19.49,49.88,100.31,54.24
2025-11-14 18:48:17,19.49,49.86,100.31,54.17
2025-11-14 18:48:33,19.48,49.89,100.31,54.45
2025-11-14 18:48:47,19.48,49.9,100.31,54.35
2025-11-14 18:49:02,19.47,49.91,100.31,54.45
2025-11-14 18:49:17,19.47,49.92,100.31,54.59
2025-11-14 18:49:32,19.46,49.97,100.31,54.45
2025-11-14 18:49:47,19.46,49.94,100.31,54.88
2025-11-14 18:50:02,19.46,49.95,100.31,54.81
2025-11-14 18:50:17,19.46,49.94,100.32,54.92
2025-11-14 18:50:32,19.46,49.92,100.32,55.24
2025-11-14 18:50:47,19.46,49.91,100.32,55.17
2025-11-14 18:51:02,19.46,49.89,100.32,55.17
2025-11-14 18:51:17,19.46,49.84,100.32,55.32
2025-11-14 18:51:32,19.46,49.81,100.32,55.58
2025-11-14 18:51:47,19.46,49.82,100.32,55.43
2025-11-14 18:52:02,19.46,49.82,100.31,55.47
2025-11-14 18:52:18,19.46,49.83,100.31,55.69
2025-11-14 18:52:33,19.46,49.77,100.31,55.84
2025-11-14 18:52:48,19.46,49.78,100.31,55.95
2025-11-14 18:53:03,19.46,49.8,100.31,56.02
2025-11-14 18:53:18,19.46,49.81,100.31,56.02
2025-11-14 18:53:33,19.45,49.83,100.31,56.06
2025-11-14 18:53:48,19.45,49.86,100.31,56.1
2025-11-14 18:54:03,19.45,49.85,100.31,56.25
2025-11-14 18:54:18,19.45,49.83,100.31,56.33
2025-11-14 18:54:33,19.45,49.83,100.31,56.29
2025-11-14 18:54:48,19.45,49.78,100.31,56.4
2025-11-14 18:55:03,19.45,49.78,100.31,56.36
2025-11-14 18:55:18,19.45,49.83,100.31,56.67
2025-11-14 18:55:33,19.45,49.91,100.31,56.56
2025-11-14 18:55:48,19.44,49.97,100.31,56.67
2025-11-14 18:56:03,19.44,49.99,100.31,56.44
2025-11-14 18:56:18,19.44,49.99,100.31,56.67
2025-11-14 18:56:33,19.43,49.98,100.31,56.67
2025-11-14 18:56:49,19.43,49.96,100.31,56.79
2025-11-14 18:57:03,19.43,50.0,100.31,56.71
2025-11-14 18:57:19,19.43,49.98,100.31,56.75
2025-11-14 18:57:34,19.43,49.94,100.31,56.71
2025-11-14 18:57:49,19.43,49.99,100.31,57.21
2025-11-14 18:58:04,19.43,50.05,100.31,57.17
2025-11-14 18:58:19,19.43,50.08,100.31,56.86
2025-11-14 18:58:34,19.43,50.06,100.31,57.14
2025-11-14 18:58:49,19.43,50.06,100.31,57.02
2025-11-14 18:59:04,19.43,50.07,100.31,57.29
2025-11-14 18:59:19,19.43,50.1,100.31,57.14
2025-11-14 18:59:34,19.44,50.11,100.31,57.14
2025-11-14 18:59:49,19.44,50.1,100.31,57.14
2025-11-14 19:00:04,19.44,50.09,100.31,57.21
2025-11-14 19:00:19,19.44,50.06,100.31,57.37
2025-11-14 19:00:34,19.44,50.04,100.31,57.33
2025-11-14 19:00:49,19.44,50.01,100.31,57.53
2025-11-14 19:01:04,19.44,50.02,100.31,57.33
