Timestamp,Sensor Timestamp,Plant ID,Disease Status,Temperature (°C),Humidity (%),Pressure (kPa),Gas Resistance (KOhm),MQ2 Rs (Ohm),MQ2 Ratio,MQ2 R0 (Ohm),MQ2 Delta,MQ2 Variance,MQ2 Baseline
2026-01-21 22:09:37,1769051377012867,plant_003,infected,19.65,35.28,100.757,47.5,965.11,2.971,324.9,0.3159,3.17423,1.2335
2026-01-21 22:09:39,1769051379035241,plant_003,infected,19.49,36.16,100.694,49.27,978.55,3.123,313.3,0.1287,3.18359,1.6962
2026-01-21 22:09:41,1769051381058986,plant_003,infected,19.36,35.69,100.757,47.79,971.3,3.066,316.8,0.1156,2.41515,1.2174
2026-01-21 22:09:43,1769051383081293,plant_003,infected,19.93,35.44,100.792,58.16,1068.06,3.31,322.7,0.2418,3.1252,1.184
2026-01-21 22:09:45,1769051385101000,plant_003,infected,19.04,35.12,100.723,47.78,948.96,2.98,318.5,0.193,3.17522,1.4523
2026-01-21 22:09:47,1769051387123206,plant_003,infected,19.06,35.23,100.692,39.25,913.06,2.863,318.9,0.1547,2.90283,1.2395
2026-01-21 22:09:49,1769051389139014,plant_003,infected,19.3,35.61,100.716,53.36,899.11,2.812,319.7,0.1019,2.78293,1.4629
2026-01-21 22:09:51,1769051391159917,plant_003,infected,19.16,35.1,100.695,48.39,1023.73,3.217,318.2,0.1399,2.50072,1.3439
2026-01-21 22:09:53,1769051393176362,plant_003,infected,19.35,35.23,100.72,46.2,940.5,3.044,309.0,0.1406,3.55697,1.2369
2026-01-21 22:09:55,1769051395197428,plant_003,infected,18.88,35.62,100.76,54.14,961.9,2.965,324.4,0.1082,3.30388,1.3244
2026-01-21 22:09:57,1769051397219883,plant_003,infected,19.3,36.37,100.744,35.88,977.75,3.006,325.3,0.1397,3.19511,1.4451
2026-01-21 22:09:59,1769051399229383,plant_003,infected,19.12,35.91,100.796,48.34,929.96,2.91,319.6,0.1462,2.99193,1.3505
2026-01-21 22:10:01,1769051401242729,plant_003,infected,18.37,36.08,100.699,46.35,1028.25,3.2,321.3,0.1177,2.79319,1.4864
2026-01-21 22:10:03,1769051403260017,plant_003,infected,19.21,35.85,100.75,54.63,918.05,2.857,321.3,0.0587,2.96522,1.3946
2026-01-21 22:10:05,1769051405275843,plant_003,infected,18.51,35.9,100.788,46.49,979.05,3.144,311.4,0.2084,3.97487,1.2801
2026-01-21 22:10:07,1769051407291591,plant_003,infected,18.62,36.48,100.744,49.34,860.51,2.722,316.2,0.1403,2.21662,1.4183
2026-01-21 22:10:09,1769051409312777,plant_003,infected,18.55,36.55,100.781,56.88,806.33,2.495,323.2,0.1819,2.70851,1.379
2026-01-21 22:10:11,1769051411331796,plant_003,infected,18.95,36.69,100.725,46.62,907.64,2.859,317.5,0.0838,3.64375,1.3466
2026-01-21 22:10:13,1769051413354009,plant_003,infected,18.33,35.65,100.758,44.27,932.32,2.972,313.7,0.202,2.86559,1.3164
2026-01-21 22:10:15,1769051415373174,plant_003,infected,17.74,35.79,100.791,42.22,805.8,2.55,316.0,0.1123,2.48179,1.5128
2026-01-21 22:10:17,1769051417393258,plant_003,infected,18.71,36.41,100.85,58.82,1014.35,3.184,318.6,0.1522,2.39093,1.3897
2026-01-21 22:10:19,1769051419413099,plant_003,infected,18.28,35.85,100.783,44.97,1005.55,3.124,321.9,0.1541,3.79075,1.4606
2026-01-21 22:10:21,1769051421429533,plant_003,infected,18.41,34.75,100.69,45.83,837.12,2.677,312.7,0.179,3.54828,1.4719
2026-01-21 22:10:23,1769051423452892,plant_003,infected,17.58,36.33,100.795,52.46,931.3,2.963,314.3,0.1166,3.07265,1.2856
2026-01-21 22:10:25,1769051425474831,plant_003,infected,17.94,35.9,100.807,50.78,1044.95,3.19,327.6,0.1384,3.23336,1.6168
2026-01-21 22:10:27,1769051427499131,plant_003,infected,18.43,35.92,100.822,48.69,976.45,3.051,320.1,0.1466,3.07841,1.559
2026-01-21 22:10:29,1769051429521984,plant_003,infected,18.58,35.53,100.757,55.06,943.56,2.98,316.6,0.1381,2.7783,1.4292
2026-01-21 22:10:31,1769051431545167,plant_003,infected,18.95,36.04,100.765,51.59,957.98,2.964,323.2,0.1334,3.6462,1.3604
2026-01-21 22:10:33,1769051433569095,plant_003,infected,17.49,35.9,100.737,51.84,1012.54,3.153,321.2,0.0685,3.34035,1.3575
2026-01-21 22:10:35,1769051435591934,plant_003,infected,18.15,36.89,100.859,52.38,989.89,3.122,317.1,0.1156,3.52452,1.3379
2026-01-21 22:10:37,1769051437613987,plant_003,infected,18.1,36.43,100.915,49.56,971.1,3.028,320.7,0.1333,3.61536,1.2733
2026-01-21 22:10:39,1769051439634551,plant_003,infected,17.9,36.24,100.916,55.94,1063.34,3.403,312.5,0.075,3.44764,1.2182
2026-01-21 22:10:41,1769051441655786,plant_003,infected,17.95,36.65,100.839,53.1,1030.5,3.276,314.6,0.2094,2.89038,1.4157
2026-01-21 22:10:43,1769051443679198,plant_003,infected,17.97,37.58,100.843,44.28,969.57,3.043,318.6,0.1433,3.55624,1.367
2026-01-21 22:10:45,1769051445703879,plant_003,infected,18.21,36.74,100.833,52.68,969.59,3.042,318.8,0.0494,2.7396,1.4332
2026-01-21 22:10:47,1769051447726888,plant_003,infected,18.15,37.25,100.799,43.25,1154.53,3.621,318.8,0.1716,2.3904,1.3637
2026-01-21 22:10:49,1769051449744012,plant_003,infected,18.43,37.29,100.748,46.01,991.68,3.028,327.5,0.1242,3.68237,1.4431
2026-01-21 22:10:51,1769051451766435,plant_003,infected,17.55,36.57,100.81,49.72,936.89,2.931,319.6,0.1553,2.72706,1.4117
2026-01-21 22:10:53,1769051453786238,plant_003,infected,17.8,35.85,100.823,49.71,969.34,3.066,316.2,0.1707,2.93426,1.2825
2026-01-21 22:10:55,1769051455809124,plant_003,infected,18.36,37.23,100.806,47.39,972.6,3.064,317.5,0.3062,3.55368,1.3997
2026-01-21 22:10:57,1769051457832978,plant_003,infected,17.63,36.7,100.776,55.42,1053.3,3.285,320.6,0.0684,3.44586,1.422
2026-01-21 22:10:59,1769051459857749,plant_003,infected,17.38,35.63,100.808,42.97,899.41,2.824,318.5,0.1129,3.57159,1.358
2026-01-21 22:11:01,1769051461882343,plant_003,infected,18.0,36.06,100.863,51.21,980.87,3.098,316.6,0.141,3.51313,1.4666
2026-01-21 22:11:03,1769051463905522,plant_003,infected,17.75,37.34,100.932,46.2,1024.27,3.248,315.3,0.0942,2.30542,1.3883
2026-01-21 22:11:05,1769051465930741,plant_003,infected,18.12,36.16,100.801,44.17,998.32,3.036,328.8,0.2348,3.00523,1.3311
2026-01-21 22:11:07,1769051467955337,plant_003,infected,18.17,36.87,100.777,58.21,965.99,3.039,317.8,0.1578,3.90676,1.3933
2026-01-21 22:11:09,1769051469979870,plant_003,infected,18.11,36.54,100.832,48.41,989.82,3.094,319.9,0.1785,3.39887,1.2725
2026-01-21 22:11:12,1769051472004404,plant_003,infected,17.47,36.44,100.845,59.83,933.79,2.997,311.6,0.1217,3.11764,1.4479
2026-01-21 22:11:14,1769051474024602,plant_003,infected,18.13,36.32,100.971,47.26,944.45,3.048,309.8,0.1491,2.48276,1.5595
2026-01-21 22:11:16,1769051476046589,plant_003,infected,17.84,35.96,100.824,54.99,1008.88,3.176,317.7,0.1796,2.79547,1.2089
2026-01-21 22:11:18,1769051478071385,plant_003,infected,18.05,36.53,100.869,52.43,961.97,3.028,317.7,0.0681,3.12552,1.3326
2026-01-21 22:11:20,1769051480094605,plant_003,infected,18.51,37.0,100.925,47.7,1029.39,3.17,324.8,0.0807,3.15123,1.3285
2026-01-21 22:11:22,1769051482118931,plant_003,infected,17.92,36.98,100.894,53.38,969.9,3.069,316.0,0.2591,3.21531,1.4986
2026-01-21 22:11:24,1769051484137396,plant_003,infected,18.53,36.57,100.821,50.72,892.1,2.766,322.5,0.1628,2.95932,1.3341
2026-01-21 22:11:26,1769051486159307,plant_003,infected,18.17,36.09,100.917,49.97,1021.69,3.202,319.0,0.1843,2.34611,1.3023
2026-01-21 22:11:28,1769051488183656,plant_003,infected,18.4,36.79,100.973,46.55,1101.89,3.364,327.5,0.0755,2.97886,1.2082
2026-01-21 22:11:30,1769051490207739,plant_003,infected,18.26,36.09,100.895,55.39,853.28,2.639,323.3,0.095,1.65434,1.4681
